,block,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,lon,lat
48,060750167002,2008-04-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-122.43564,37.76983
49,060750231022,2008-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-122.385826,37.733532
50,060750177001,2008-01-14,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.40749,37.76514
51,060750263032,2007-10-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.441185,37.70942
52,060750180001,2007-07-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.39486,37.780533
53,060750119021,2006-10-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.40962,37.790062
54,060750210003,2006-09-22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42277,37.75118
55,060750260022,2006-03-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42355,37.725666
56,060750479015,2005-12-09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-122.50597,37.77626
57,060750304001,2005-10-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.461975,37.74963
58,060750202001,2005-10-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42395,37.77102
59,060750135001,2005-06-27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.43119,37.792454
60,060750208002,2005-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-122.417435,37.758736
61,060750135001,2004-01-06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42955,37.792664
62,060750121001,2003-10-31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.411995,37.78928
63,060750109003,2003-09-09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.42298,37.797726
64,060750311004,2003-08-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.45115,37.729473
65,060750264011,2003-07-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.411476,37.714035
66,060750111003,2003-01-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-122.41548,37.78979
67,060750133002,2002-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-122.446465,37.789165
